Unite;Semaine;Horaire;Idle;Typele;IdEns;IdProf;IdDiv;IdGrp;IdContle
U12;999;VEM3;009;Cours;ENS001;PRF003;DIV021;999;CS0103c1
U13;999;SAM3;001;Cours;ENS001;PRF003;DIV021;999;CS0103c1
U14;999;VES2;001;Cours;ENS001;PRF003;DIV021;999;CS0103c1
U15;999;MEM4;097;Cours;ENS001;PRF003;DIV021;999;CS0103c1
U16;A;MAS1;003;Cours;ENS001;PRF003;DIV021;999;CS0103c1
U17;999;VEM1;813;Cours;ENS001;PRF006;DIV001;999;CS0106c2
U18;999;LUM3;095;Cours;ENS001;PRF006;DIV001;999;CS0106c2
U19;999;JEM2;002;Cours;ENS001;PRF006;DIV001;999;CS0106c2
U20;999;LUM4;093;Cours;ENS001;PRF006;DIV001;999;CS0106c2
U21;A;JES3;006;Cours;ENS001;PRF006;DIV001;999;CS0106c2
U22;999;VES1;004;Cours;ENS001;PRF018;DIV011;999;CS0118c3
U23;999;SAM4;095;Cours;ENS001;PRF018;DIV011;999;CS0118c3
U24;999;JES3;014;Cours;ENS001;PRF018;DIV011;999;CS0118c3
U25;999;MAM3;001;Cours;ENS001;PRF018;DIV011;999;CS0118c3
U26;A;MEM3;098;Cours;ENS001;PRF018;DIV011;999;CS0118c3
U27;999;MEM3;096;Cours;ENS002;PRF003;DIV022;999;CS0203c4
U28;999;MEM1;096;Cours;ENS002;PRF003;DIV022;999;CS0203c4
U29;999;SAM1;097;Cours;ENS002;PRF003;DIV022;999;CS0203c4
U30;999;MAM4;012;Cours;ENS002;PRF003;DIV022;999;CS0203c4
U31;A;VEM1;013;Cours;ENS002;PRF003;DIV022;999;CS0203c4
U32;999;MAM4;015;Cours;ENS002;PRF006;DIV002;999;CS0206c5
U33;999;VEM3;093;Cours;ENS002;PRF006;DIV002;999;CS0206c5
U34;999;VEM4;092;Cours;ENS002;PRF006;DIV002;999;CS0206c5
U35;999;MAM2;004;Cours;ENS002;PRF006;DIV002;999;CS0206c5
U36;A;LUS1;011;Cours;ENS002;PRF006;DIV002;999;CS0206c5
U37;999;MAS2;094;Cours;ENS002;PRF018;DIV012;999;CS0218c6
U38;999;JES1;008;Cours;ENS002;PRF018;DIV012;999;CS0218c6
