IdDiv;IdGrp
DIV001;GRP001PSV1
DIV001;GRP001PSV2
DIV001;GRP0131
DIV001;GRP0461
DIV001;GRP1131
DIV001;GRP3131
DIV002;GRP002PPh1
DIV002;GRP002PPh2
DIV002;GRP002PSV1
DIV002;GRP002PSV2
DIV002;GRP0141
DIV002;GRP0181
DIV002;GRP0431
DIV002;GRP0471
DIV002;GRP1141
DIV002;GRP2181
DIV002;GRP3141
DIV002;GRP3181
DIV002;GRP4401
DIV003;GRP003PPh1
DIV003;GRP003PPh2
DIV003;GRP003PSV1
DIV003;GRP003PSV2
DIV003;GRP0151
DIV003;GRP0191
DIV003;GRP0441
DIV003;GRP0481
DIV003;GRP1151
DIV003;GRP2191
DIV003;GRP3151
DIV003;GRP3191
DIV003;GRP4411
DIV004;GRP004PPh1
DIV004;GRP004PPh2
DIV004;GRP004PSV1
DIV004;GRP004PSV2
DIV004;GRP0161
DIV004;GRP0201
DIV004;GRP0451
DIV004;GRP0491
DIV004;GRP1161
DIV004;GRP2201
DIV004;GRP3161
DIV004;GRP3201
DIV004;GRP4421
DIV011;GRP011PSV1
DIV011;GRP011PSV2
DIV011;GRP0131
DIV011;GRP0461
DIV011;GRP1132
DIV011;GRP3132
DIV012;GRP012PPh1
DIV012;GRP012PPh2
DIV012;GRP012PSV1
DIV012;GRP012PSV2
DIV012;GRP0142
DIV012;GRP0182
DIV012;GRP0431
DIV012;GRP0471
DIV012;GRP1141
DIV012;GRP2181
DIV012;GRP3141
DIV012;GRP3182
DIV012;GRP4401
DIV013;GRP013PPh1
DIV013;GRP013PPh2
DIV013;GRP013PSV1
DIV013;GRP013PSV2
DIV013;GRP0152
DIV013;GRP0191
DIV013;GRP0441
DIV013;GRP0481
DIV013;GRP1152
DIV013;GRP2191
DIV013;GRP3151
DIV013;GRP3192
DIV013;GRP4411
DIV014;GRP014PPh1
DIV014;GRP014PPh2
DIV014;GRP014PSV1
DIV014;GRP014PSV2
DIV014;GRP0161
DIV014;GRP0201
DIV014;GRP0451
DIV014;GRP0491
DIV014;GRP1162
DIV014;GRP2202
DIV014;GRP3162
DIV014;GRP3202
DIV014;GRP4421
DIV021;GRP0131
DIV021;GRP021PSV1
DIV021;GRP021PSV2
DIV021;GRP0461
DIV021;GRP1131
DIV021;GRP1132
DIV021;GRP3131
DIV021;GRP3132
DIV022;GRP0141
DIV022;GRP0142
DIV022;GRP0181
DIV022;GRP0182
DIV022;GRP022PPh1
DIV022;GRP022PPh2
DIV022;GRP022PSV1
DIV022;GRP022PSV2
DIV022;GRP0431
DIV022;GRP0471
DIV022;GRP1141
DIV022;GRP2181
DIV022;GRP3141
DIV022;GRP3181
DIV022;GRP3182
DIV022;GRP4401
DIV023;GRP0151
DIV023;GRP0152
DIV023;GRP0191
DIV023;GRP023PPh1
DIV023;GRP023PPh2
DIV023;GRP023PSV1
DIV023;GRP023PSV2
DIV023;GRP0441
DIV023;GRP0481
DIV023;GRP1151
DIV023;GRP1152
DIV023;GRP2191
DIV023;GRP3151
DIV023;GRP3191
DIV023;GRP3192
DIV023;GRP4411
DIV024;GRP0161
DIV024;GRP0201
DIV024;GRP024PPh1
DIV024;GRP024PPh2
DIV024;GRP024PSV1
DIV024;GRP024PSV2
DIV024;GRP0451
DIV024;GRP0491
DIV024;GRP1161
DIV024;GRP1162
DIV024;GRP2201
DIV024;GRP2202
DIV024;GRP3161
DIV024;GRP3162
DIV024;GRP3201
DIV024;GRP3202
DIV024;GRP4421
