IdEns1;IdEns2
ENS013;ENS046
ENS014;ENS018
ENS014;ENS043
ENS014;ENS047
ENS014;ENS318
ENS014;ENS440
ENS015;ENS019
ENS015;ENS044
ENS015;ENS048
ENS015;ENS319
ENS015;ENS441
ENS016;ENS020
ENS016;ENS045
ENS016;ENS049
ENS016;ENS320
ENS016;ENS442
ENS018;ENS014
ENS018;ENS043
ENS018;ENS047
ENS018;ENS314
ENS018;ENS440
ENS019;ENS015
ENS019;ENS044
ENS019;ENS048
ENS019;ENS315
ENS019;ENS441
ENS020;ENS016
ENS020;ENS045
ENS020;ENS049
ENS020;ENS316
ENS020;ENS442
ENS043;ENS014
ENS043;ENS018
ENS043;ENS047
ENS043;ENS114
ENS043;ENS218
ENS043;ENS314
ENS043;ENS318
ENS043;ENS440
ENS044;ENS015
ENS044;ENS019
ENS044;ENS048
ENS044;ENS115
ENS044;ENS219
ENS044;ENS315
ENS044;ENS319
ENS044;ENS441
ENS045;ENS016
ENS045;ENS020
ENS045;ENS049
ENS045;ENS116
ENS045;ENS220
ENS045;ENS316
ENS045;ENS320
ENS045;ENS442
ENS046;ENS013
ENS046;ENS113
ENS046;ENS313
ENS047;ENS014
ENS047;ENS018
ENS047;ENS043
ENS047;ENS114
ENS047;ENS218
ENS047;ENS314
ENS047;ENS318
ENS047;ENS440
ENS048;ENS015
ENS048;ENS019
ENS048;ENS044
ENS048;ENS115
ENS048;ENS219
ENS048;ENS315
ENS048;ENS319
ENS048;ENS441
ENS049;ENS016
ENS049;ENS020
ENS049;ENS045
ENS049;ENS116
ENS049;ENS220
ENS049;ENS316
ENS049;ENS320
ENS049;ENS442
ENS113;ENS046
ENS114;ENS043
ENS114;ENS047
ENS114;ENS218
ENS114;ENS318
ENS114;ENS440
ENS115;ENS044
ENS115;ENS048
ENS115;ENS219
ENS115;ENS319
ENS115;ENS441
ENS116;ENS045
ENS116;ENS049
ENS116;ENS220
ENS116;ENS320
ENS116;ENS442
ENS218;ENS043
ENS218;ENS047
ENS218;ENS114
ENS218;ENS314
ENS218;ENS440
ENS219;ENS044
ENS219;ENS048
ENS219;ENS115
ENS219;ENS315
ENS219;ENS441
ENS220;ENS045
ENS220;ENS049
ENS220;ENS116
ENS220;ENS316
ENS220;ENS442
ENS313;ENS046
ENS314;ENS018
ENS314;ENS043
ENS314;ENS047
ENS314;ENS218
ENS314;ENS440
ENS315;ENS019
ENS315;ENS044
ENS315;ENS048
ENS315;ENS219
ENS315;ENS441
ENS316;ENS020
ENS316;ENS045
ENS316;ENS049
ENS316;ENS220
ENS316;ENS442
ENS318;ENS014
ENS318;ENS043
ENS318;ENS047
ENS318;ENS114
ENS318;ENS440
ENS319;ENS015
ENS319;ENS044
ENS319;ENS048
ENS319;ENS115
ENS319;ENS441
ENS320;ENS016
ENS320;ENS045
ENS320;ENS049
ENS320;ENS116
ENS320;ENS442
ENS440;ENS014
ENS440;ENS018
ENS440;ENS043
ENS440;ENS047
ENS440;ENS114
ENS440;ENS218
ENS440;ENS314
ENS440;ENS318
ENS441;ENS015
ENS441;ENS019
ENS441;ENS044
ENS441;ENS048
ENS441;ENS115
ENS441;ENS219
ENS441;ENS315
ENS441;ENS319
ENS442;ENS016
ENS442;ENS020
ENS442;ENS045
ENS442;ENS049
ENS442;ENS116
ENS442;ENS220
ENS442;ENS316
ENS442;ENS320
